step,train_loss,val_loss
1,1.8240807056427002,
2,1.54500150680542,
3,1.276761770248413,
4,0.9027620553970337,
5,1.1828598976135254,
6,0.9420933723449707,
7,0.85478276014328,
8,0.5079838037490845,
9,0.5889893770217896,
10,0.7452352046966553,
11,0.6552109122276306,
12,0.7519498467445374,
13,0.3710465133190155,
14,0.5322867035865784,
15,0.24412663280963898,
16,0.6055334210395813,
17,0.6605329513549805,
18,0.5121262073516846,
19,0.26345956325531006,
20,0.6343488097190857,0.4407124760746956
21,0.33817827701568604,
22,0.5022587180137634,
23,0.3002603054046631,
24,0.2712942361831665,
25,0.325013130903244,
26,0.34158170223236084,
27,0.13277079164981842,
28,0.35508376359939575,
29,0.4518146514892578,
30,0.22847698628902435,
31,0.34903615713119507,
32,0.5518633723258972,
33,0.208695188164711,
34,0.44028329849243164,
35,0.38415011763572693,
36,0.37820908427238464,
37,0.3988000154495239,
38,0.5508217811584473,
39,0.1653842329978943,
40,0.18097342550754547,0.30279550433158875
41,0.30123522877693176,
42,0.5262124538421631,
43,0.12738415598869324,
44,0.44157150387763977,
45,0.2778351306915283,
46,0.3269958794116974,
47,0.459479421377182,
48,0.20791761577129364,
49,0.24607473611831665,
50,0.16321803629398346,
51,0.10263632237911224,
52,0.14399497210979462,
53,0.13199444115161896,
54,0.2786216735839844,
55,0.1677645742893219,
56,0.16166041791439056,
57,0.2072591632604599,
58,0.33942711353302,
59,0.18476015329360962,
60,0.10303819179534912,0.21423747817675273
61,0.327229380607605,
62,0.18089818954467773,
63,0.1827734112739563,
64,0.21097992360591888,
65,0.19469976425170898,
66,0.06712973862886429,
67,0.1494140326976776,
68,0.08329782634973526,
69,0.17004522681236267,
70,0.09921702742576599,
71,0.14971168339252472,
72,0.17916807532310486,
73,0.1029583066701889,
74,0.07010336220264435,
75,0.09461355954408646,
76,0.05020890384912491,
77,0.019009672105312347,
78,0.3177717328071594,
79,0.27154678106307983,
80,0.24136801064014435,0.1531788314312386
81,0.12118150293827057,
82,0.0579824224114418,
83,0.14545081555843353,
84,0.13771472871303558,
85,0.20321451127529144,
86,0.05109627917408943,
87,0.30459389090538025,
88,0.20530997216701508,
89,0.04959079250693321,
90,0.2558809816837311,
91,0.08116865903139114,
92,0.13692925870418549,
93,0.059408318251371384,
94,0.05153260380029678,
95,0.1344781368970871,
96,0.21725797653198242,
97,0.2427418828010559,
98,0.15711712837219238,
99,0.37836259603500366,
100,0.10004899650812149,0.10771308466792107
101,0.2835302948951721,
102,0.03054756112396717,
103,0.21177922189235687,
104,0.04884682968258858,
105,0.26346713304519653,
106,0.04923536628484726,
107,0.08744514733552933,
108,0.048477258533239365,
109,0.2493899166584015,
110,0.18612316250801086,
111,0.04071171209216118,
112,0.05311201885342598,
113,0.17852725088596344,
114,0.08078674226999283,
115,0.07248266786336899,
116,0.20314761996269226,
117,0.12139012664556503,
118,0.050736963748931885,
119,0.1047423705458641,
120,0.03500257059931755,0.07984334092587232
121,0.05009205639362335,
122,0.12181403487920761,
123,0.009411212056875229,
124,0.03243643045425415,
125,0.051391277462244034,
126,0.02636846713721752,
127,0.0324467234313488,
128,0.08291803300380707,
129,0.08627688139677048,
130,0.037743888795375824,
131,0.22063736617565155,
132,0.03483053669333458,
133,0.034571364521980286,
134,0.05489953234791756,
135,0.061455171555280685,
136,0.24290543794631958,
137,0.017815591767430305,
138,0.05383744090795517,
139,0.11647307872772217,
140,0.05966859310865402,0.052673812617237366
141,0.035753149539232254,
142,0.054852914065122604,
143,0.0727735310792923,
144,0.01403765194118023,
145,0.03220405429601669,
146,0.07029798626899719,
147,0.025939669460058212,
148,0.014526412822306156,
149,0.03270871937274933,
150,0.009285425767302513,
151,0.002034019911661744,
152,0.014169473201036453,
153,0.06182658299803734,
154,0.016832783818244934,
155,0.1811956912279129,
156,0.006079859100282192,
157,0.051863893866539,
158,0.09235554933547974,
159,0.011809764429926872,
160,0.0117095448076725,0.0444041231169831
161,0.009924955666065216,
162,0.01661825366318226,
163,0.12462740391492844,
164,0.011463274247944355,
165,0.008653487078845501,
166,0.0030114450491964817,
167,0.10545320063829422,
168,0.03111758641898632,
169,0.0026975159998983145,
170,0.003741368418559432,
171,0.01389795821160078,
172,0.06159181892871857,
173,0.03421086445450783,
174,0.09168349951505661,
175,0.02420412003993988,
176,0.02271941304206848,
177,0.005174105986952782,
178,0.04150570556521416,
179,0.060432206839323044,
180,0.007994134910404682,0.03900272415485233
181,0.011970002204179764,
182,0.004931154660880566,
183,0.04570365324616432,
184,0.01785762794315815,
185,0.005871214903891087,
186,0.014520575292408466,
187,0.004902531858533621,
188,0.019926020875573158,
189,0.016303177922964096,
190,0.005925813224166632,
191,0.009270344860851765,
192,0.05058658868074417,
193,0.11918877065181732,
194,0.05565144494175911,
195,0.021145565435290337,
196,0.004914480727165937,
197,0.05015327036380768,
198,0.015348988585174084,
199,0.07310273498296738,
200,0.012979635037481785,0.02841290179795275
